training_loss,training_accuracy,validation_loss,validation_accuracy,precision_m_train,recall_m_train,f1_m_train,precision_m_val,recall_m_val,f1_m_val
1.802935243,0.340782702,1.43023622,0.476748884,0.407412678,0.181976169,0.246073499,0.700854719,0.042868588,0.079756379
1.469114304,0.398928106,1.337653041,0.4925192,0.540188372,0.151642129,0.234727457,0.811294198,0.100160256,0.174503312
1.414617896,0.420568317,1.30244565,0.476344526,0.584900856,0.170704529,0.261942655,0.755692959,0.108395651,0.185905486
1.385135412,0.437253505,1.276621222,0.50384146,0.601105154,0.177630216,0.27135995,0.820380688,0.138443723,0.232746318
1.361144304,0.440287203,1.242567182,0.528507888,0.604575813,0.187285766,0.283343256,0.725513875,0.204549491,0.314876199
1.355856419,0.442208529,1.243343592,0.513950646,0.619086683,0.192276672,0.29040733,0.791769505,0.174501419,0.282447755
1.343435168,0.443118602,1.227703571,0.522846758,0.616697609,0.194612876,0.293059647,0.758067191,0.204994649,0.318275392
1.341107249,0.447669119,1.22910428,0.524868608,0.617770314,0.194889858,0.292990178,0.729568541,0.211805567,0.323072672
1.330594182,0.456163406,1.207447767,0.534573376,0.625540197,0.209072828,0.310298532,0.79615742,0.188746437,0.300736099
1.325745344,0.464152098,1.202977777,0.528912246,0.63168931,0.207052559,0.309657931,0.745032012,0.215010688,0.329509377
1.317997575,0.464758813,1.199260235,0.522846758,0.641925216,0.214700907,0.319504708,0.740690291,0.207799152,0.319601148
1.32070756,0.465972304,1.198976994,0.522846758,0.632460296,0.214265808,0.317630947,0.766714752,0.204193369,0.316965967
1.30804944,0.470219433,1.202816725,0.522846758,0.639281988,0.219088346,0.323252827,0.761395276,0.201166317,0.313839287
1.308244705,0.460006058,1.184389353,0.536190867,0.637772858,0.224874377,0.330444038,0.757198751,0.227252498,0.345194489
1.291202426,0.471129537,1.188687086,0.533360302,0.651635826,0.231699064,0.339614689,0.761368573,0.215811968,0.330982447
1.29337585,0.47345534,1.195697665,0.53578651,0.64329195,0.226863593,0.332967311,0.724814892,0.209401712,0.320877343
1.297759056,0.47476995,1.188048244,0.536595225,0.636090815,0.226086572,0.330772787,0.758093178,0.201166317,0.313705266
1.299681187,0.477803618,1.17620194,0.536999583,0.640048325,0.229520947,0.335547477,0.76306057,0.223023519,0.34054184
1.279740214,0.475477815,1.16271174,0.53578651,0.653262794,0.244483307,0.353122294,0.746835113,0.243678778,0.362855077
1.287375331,0.467489123,1.17938149,0.536595225,0.640796483,0.227614656,0.333671391,0.763082027,0.220619664,0.3379924
1.283579469,0.47881484,1.179804921,0.534573376,0.651849091,0.238987297,0.347156495,0.732964218,0.235042736,0.35148561
1.287242889,0.482758611,1.190457463,0.545895696,0.638036013,0.235464871,0.341527581,0.761036575,0.219017103,0.335831702
1.283679128,0.481039524,1.171812773,0.53012538,0.650638223,0.235423461,0.343152165,0.760978222,0.227252498,0.343782902
1.278750539,0.482050776,1.159159541,0.538617074,0.647397757,0.24250716,0.350405306,0.75816834,0.238648519,0.359033555
1.283459067,0.483365357,1.173780799,0.537808359,0.642285347,0.237182096,0.344100565,0.770839512,0.249866456,0.372277796
1.263255954,0.492264122,1.184447289,0.531338453,0.658701658,0.249836832,0.359832257,0.769166172,0.20962429,0.325507969
1.27362752,0.478713721,1.179134965,0.530934095,0.646876156,0.246806562,0.35485217,0.775469542,0.220619664,0.338955402
1.26961267,0.480028301,1.162639976,0.544682562,0.649098396,0.24415192,0.352635711,0.753648281,0.242031679,0.361830205
1.261938572,0.487106889,1.166710019,0.544682562,0.661250412,0.264584333,0.375432253,0.760572791,0.24510327,0.365026414
1.259155273,0.489331573,1.162444234,0.540638924,0.653612375,0.256560564,0.366253257,0.72433722,0.260906339,0.379057407
1.259765744,0.482758611,1.143459558,0.548321903,0.660363793,0.249373227,0.359447241,0.736552238,0.260505706,0.380378306
1.258520603,0.490443915,1.153098106,0.549534976,0.654432118,0.259492308,0.369440019,0.771611869,0.236467242,0.355933398
1.248298526,0.493983209,1.15079248,0.541851997,0.641274214,0.259375811,0.367086083,0.750062823,0.254674166,0.375962824
1.258011699,0.488522589,1.154966474,0.548726261,0.655020714,0.256894648,0.366150707,0.740040779,0.252092242,0.372236788
1.252002954,0.488219231,1.146476507,0.543065131,0.653394938,0.25402239,0.363644689,0.770621479,0.2434562,0.364955485
1.255414486,0.485590041,1.158242345,0.544278204,0.66059798,0.262349248,0.372522414,0.754031658,0.252092242,0.373710155
1.255407214,0.489938319,1.162729502,0.548321903,0.649525583,0.254239857,0.362616301,0.779910207,0.223246083,0.341007978
1.235345006,0.497016877,1.148456216,0.547513127,0.663591504,0.264340818,0.375010639,0.779932141,0.241675571,0.363974899
1.242154956,0.498533726,1.133721828,0.555600464,0.659636974,0.271553993,0.382094681,0.760071337,0.276531339,0.399894685
1.229292154,0.499443829,1.130895376,0.548321903,0.659234047,0.277311504,0.388571292,0.775137126,0.267539173,0.392688364
1.236344337,0.494691074,1.147256732,0.552365541,0.651814401,0.271525383,0.381238788,0.797631204,0.230235055,0.352651477
1.241356134,0.497219145,1.148690701,0.545491278,0.653807759,0.266806513,0.376167029,0.759302974,0.256276727,0.377529204
1.240602612,0.494185448,1.143218875,0.545491278,0.652355134,0.268523604,0.378008723,0.749822497,0.254674166,0.375046104
1.232638121,0.499747187,1.154232264,0.536999583,0.653366327,0.274568707,0.384199053,0.756334364,0.22199963,0.338598937
1.236707449,0.501162887,1.13876915,0.549939334,0.663348973,0.269173831,0.380551219,0.748687863,0.259081215,0.380251914
1.225177646,0.504196584,1.139489651,0.554791749,0.648587286,0.268813729,0.377877116,0.778056204,0.24265492,0.365242332
1.228637099,0.49519667,1.138357282,0.551961184,0.650130272,0.266474992,0.375583827,0.758840203,0.24425748,0.365056276
1.236873627,0.50207299,1.139319062,0.547108769,0.665454388,0.271007508,0.383132547,0.763434529,0.25912571,0.382259786
1.226222277,0.498735964,1.151889205,0.53942579,0.649321914,0.275695443,0.384958714,0.761749268,0.24425748,0.365066528
1.215213537,0.508443713,1.143547654,0.542256355,0.659979105,0.281105936,0.391743541,0.773307741,0.252270311,0.374383211
